movie_id,title,url,rating_overall,rating_num,rating_5,rating_4,rating_3,rating_2,rating_1
27170581,天籁梦想,https://movie.douban.com/subject/27170581/,null,NA,NA,NA,NA,NA,NA
27082927,醉佳导演,https://movie.douban.com/subject/27082927/,null,NA,NA,NA,NA,NA,NA
6874741,无问西东,https://movie.douban.com/subject/6874741/,7.5,705167,25.30%,38.50%,26.50%,7.20%,2.40%
26984538,卧底巨星,https://movie.douban.com/subject/26984538/,3.5,20066,1.00%,1.80%,14.80%,34.80%,47.60%
26586766,勇敢者游戏：决战丛林,https://movie.douban.com/subject/26586766/,6.8,199360,6.80%,34.40%,50.20%,7.60%,0.90%
27073291,太空救援,https://movie.douban.com/subject/27073291/,7.6,68289,16.20%,51.50%,29.90%,2.30%,0.20%
26954003,大世界,https://movie.douban.com/subject/26954003/,6.9,54477,7.80%,39.70%,44.30%,7.00%,1.20%
27199679,时空终点,https://movie.douban.com/subject/27199679/,2.9,319,0.00%,3.30%,6.70%,20.00%,70.00%
27017988,丢心,https://movie.douban.com/subject/27017988/,null,NA,NA,NA,NA,NA,NA
2133433,迷镇凶案,https://movie.douban.com/subject/2133433/,6.1,23583,3.00%,20.80%,57.20%,17.30%,1.70%
1293796,大寒,https://movie.douban.com/subject/1293796/,6.8,843,11.00%,33.70%,43.70%,9.00%,2.60%
26996415,红月亮之武陵山歌,https://movie.douban.com/subject/26996415/,null,NA,NA,NA,NA,NA,NA
22265634,星球大战八：最后的绝地武士,https://movie.douban.com/subject/22265634/,7.1,149190,13.70%,37.80%,39.00%,7.70%,1.80%
26631663,尼斯·疯狂的心,https://movie.douban.com/subject/26631663/,8.1,6416,26.20%,52.30%,19.90%,1.40%,0.30%
27614421,只想好好和你在一起,https://movie.douban.com/subject/27614421/,null,NA,NA,NA,NA,NA,NA
11615929,我的影子在奔跑,https://movie.douban.com/subject/11615929/,7,6510,10.60%,41.50%,39.40%,6.30%,2.20%
26628256,一个人的课堂,https://movie.douban.com/subject/26628256/,7.5,759,33.30%,31.30%,20.80%,6.30%,8.30%
27601920,芒刺,https://movie.douban.com/subject/27601920/,null,NA,NA,NA,NA,NA,NA
26827040,英雄本色2018,https://movie.douban.com/subject/26827040/,4.5,39993,4.40%,4.10%,26.90%,41.90%,22.60%
26612285,谜巢,https://movie.douban.com/subject/26612285/,3.4,22120,0.70%,1.90%,13.10%,36.80%,47.50%
25846857,公牛历险记,https://movie.douban.com/subject/25846857/,7.2,52483,13.00%,39.50%,43.30%,3.80%,0.40%
26787574,奇迹男孩,https://movie.douban.com/subject/26787574/,8.6,538261,42.90%,44.30%,12.00%,0.70%,0.10%
